cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
241,Benzene,"benzene|benzol|71-43-2|benzole|Cyclohexatriene|Pyrobenzole|Benzine|Phenyl hydride|Pyrobenzol|Benzen|Phene|Mineral naphtha|Coal naphtha|Bicarburet of hydrogen|Benzolene|Benzin|[6]Annulene|Motor benzol|Carbon oil|Benzeen|Benzolo|Fenzen|Nitration benzene|(6)Annulene|Benzol 90|Benzen [Polish]|Benzeen [Dutch]|Fenzen [Czech]|Rcra waste number U019|Benzolo [Italian]|Benzine (Obs.)|Benzin (Obs.)|NCI-C55276|Caswell No. 077|Benzol diluent|Benzene, pure|CCRIS 70|NSC 67315|HSDB 35|UN 1114|CHEBI:16716|UNII-J64922108F|1,",78.110,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,Benzene,131070,16,"330,421,426,427,433,434,435,445,530,540,541,542,543,544,545,546,584,585,595,596,603,605,654,655,656,657,658,659,660,661,662,663,664,665,666,667,875,880,881,884,885,886,887,889,892,893,894,900,902,912,921,923,924,925,926,938,946,947,948,955,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,993,994,995,1030,1188,1189,1194,1199,1205,1208,1452,1457,1458,1469,1471,1476,1477,1478,1479,1811,1948,2101,2107,2112,2120,2517,2546,2549,2551,19262,2396",20040916,/s0716-97602010000200004|04.2008/jcpsp.261262|10.1001/archderm.1965.01600120031006|10.1001/archderm.91.4.335|10.1001/archdermatol.2010.34|10.1001/archinte.140.5.703|10.1001/archinte.1953.00240150127012|10.1001/archinte.1980.00330170119036|10.1001/archinternmed.2012.2329|10.1001/jama.194.7.828|10.1001/jama.1956.62970010012016|10.1001/jama.1956.62970010013016a|10.1001/jama.1963.03060100028011|10.1001/jama.1965.03090200136033|10.1001/jama.1989.03430220008002|10.1001/jama.262.22.3102|10.1002/(sici)1096-9896(199
567,Phenylmercury,"Phenylmercury|phenylmercury(.)|Mercury, phenyl-|HgPh(.)|AC1L19IV|CHEBI:49819|CTK0E6684|16056-36-3",277.700,C6H5Hg,0.000,46.100,NULL,7,0,0,0,DCNLOVYDMCVNRZ-UHFFFAOYSA-N,phenylmercury,NULL,788,4,NULL,20040916,10.1007/0-387-24494-8_15|10.1007/0-387-24494-8_8|10.1007/1-4020-2586-6_26|10.1007/1-4020-2818-0_42|10.1007/10367608_5|10.1007/7171_2006_085|10.1007/978-0-387-84843-3_36|10.1007/978-0-585-32386-2_14|10.1007/978-1-349-02489-6_4|10.1007/978-1-4020-8514-7_40|10.1007/978-1-4612-9815-1_24|10.1007/978-1-4613-0961-1_8|10.1007/978-1-4613-1783-8_10|10.1007/978-1-4613-2361-7_16|10.1007/978-1-4613-2399-0_31|10.1007/978-1-4614-2383-6_13|10.1007/978-1-4615-5153-9_2|10.1007/978-1-4615-6847-6_22|10.1007/978-1-4615-8428-5_1
7511,Phenylmercuric chloride,"PHENYLMERCURIC CHLORIDE|Agrenal|Phenylmercury chloride|Mercury, chlorophenyl-|Hexason|100-56-1|Chlorophenylmercury|Stopspot|Merfazin|Mercutal|Agronal|Mersolite 2|PMC (fungicide)|Phenyl chloromercury|Mercuriphenyl chloride|(Chloromercuri)benzene|Fenylmercurichlorid|Hexasonum (base)|Monophenylmercury chloride|Benzene, (chloromercurio)-|Chlorid fenylrtutnaty|chloro(phenyl)mercury|Phenylquecksilberchlorid|Caswell No. 656E|Phenylmercury(II) chloride|Fenylmercurichlorid [Czech]|Chlorid fenylrtutnaty [Czech]|Pheny",313.150,C6H5ClHg,0.000,59.500,NULL,8,0,0,0,AWGTVRDHKJQFAX-UHFFFAOYSA-M,chloro(phenyl)mercury,NULL,130874,13,"651631,651632,651633,651634,720516,720552,720634,720635,720637,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743210,743211,743212,743213,743215,743217,743218,743219,7",20050327,10.1006/taap.1997.8111|10.1007/0-306-46825-5_20|10.1007/1-4020-7858-7_16|10.1007/10201860_35|10.1007/10201860_60|10.1007/10201860_61|10.1007/978-1-349-00355-6_26|10.1007/978-1-349-02273-1_23|10.1007/978-1-4612-4596-4_2|10.1007/978-1-4612-9815-1_24|10.1007/978-1-4613-1787-6_70|10.1007/978-1-4613-2109-5_9|10.1007/978-1-4613-2361-7_16|10.1007/978-1-4613-2958-9_16|10.1007/978-1-4615-3460-0_79|10.1007/978-1-4615-8437-7_1|10.1007/978-1-4615-8834-4_4|10.1007/978-1-4615-9498-7_3|10.1007/978-1-4615-9498-7_5|10.1007/
7512,Phenylmercuric hydroxide,"PHENYLMERCURIC HYDROXIDE|Phenylmercury hydroxide|Mercury, hydroxyphenyl-|Hydroxyphenylmercury|Mersolite 1|100-57-2|Phenyl hydroxymercury|Caswell No. 657C|NSC 4773|EINECS 202-866-7|UN1894|EPA Pesticide Chemical Code 066011|BRN 0636144|C6H6HgO|PHENYL MERCURIC HYDROXIDE|WLN: Q-HG-R|Hydroxy(Phenyl) Mercury(Ii)|SCHEMBL1310086|DTXSID8059213|CTK0H6255|NSC4773|NSC-4773|7647AF|LS-89806|Phenylmercuric hydroxide [UN1894] [Poison]|Phenylmercuric hydroxide [UN1894]  [Poison]",295.710,C6H7HgO,1.000,50.500,NULL,8,1,1,1,MSYUMXXVCSLXMR-UHFFFAOYSA-N,phenylmercury;hydrate,NULL,62234,9,"155,157,161,165,167,175,248,1259408",20050326,10.1007/10367608_19|10.1007/10367608_20|10.1007/978-1-4614-4612-5_40|10.1007/978-1-4684-3279-4_20|10.1007/978-1-4757-0127-2_4|10.1007/978-3-642-68912-3_42|10.1007/BF00312571|10.1007/BF00471199|10.1007/BF00480474|10.1007/BF00482490|10.1007/BF00484173|10.1007/BF00484174|10.1007/BF00484175|10.1007/BF00484176|10.1007/BF00741595|10.1007/BF00745437|10.1007/BF00746435|10.1007/BF00746829|10.1007/BF00746830|10.1007/BF00747000|10.1007/BF00750889|10.1007/BF00901379|10.1007/BF00905345|10.1007/BF00906811|10.1007/BF00906
7629,Phenylmercury(1+),phenylmercury(1+)|23172-37-4|Arylmercury|CHEBI:30787|[HgPh](+)|AC1L1P74|CTK1A4592|NCGC00161826-02|C01783,277.700,C6H5Hg+,0.000,46.100,NULL,7,0,0,0,BODKAQWWZBLGOU-UHFFFAOYSA-N,phenylmercury(1+),NULL,99090,6,"1469,1471,1479,1490,1688,1766,1768,2528,2546,2551,2662,485290,492961,504327,504332,504749,504832,504834,504847,504865,588382,588397,588453,588456,588579,588590,588795,588855,588856,602310,602332,624030,624031,624032,624044,624170,624172,624173,624178,624202,624263,624296,624297,624414,651965,652106,686978,686979,720579,720580,1347041",20040916,10.1126/science.1205216
9706,"1,2-Difluorobenzene","1,2-DIFLUOROBENZENE|367-11-3|o-Difluorobenzene|Benzene, 1,2-difluoro-|Benzene, o-difluoro-|ortho-Difluorobenzene|difluorobenzene|MFCD00000284|1,2-difluoro-benzene|EINECS 206-680-7|UNII-AW7QGMW29C|NSC 10275|AW7QGMW29C|BRN 1905113|1,2-Difluorobenzene, 98%|AI3-52226|GOYDNIKZWGIXJT-UHFFFAOYSA-N|o-difluoro benzene|0-difluorobenzene|Benzene, difluoro-|1,2-Difluorbenzol|1 2-difluorobenzene|Benzene,2-difluoro-|PubChem2307|2,3-difluoro benzene|1,2-difluoro benzene|AC1L1TMY|ACMC-1CR1X|1,2-bis(fluoranyl)benzene|2,3-DI",114.090,C6H4F2,0.000,62.900,2.400,8,0,2,0,GOYDNIKZWGIXJT-UHFFFAOYSA-N,"1,2-difluorobenzene",NULL,14104,7,NULL,20050326,10.1002/chem.201200591|10.1002/chir.1033|10.1002/cmdc.201100278|10.1007/0-306-47522-7_8|10.1007/0-306-47613-4_20|10.1007/10312302_55|10.1007/10468797_8|10.1007/10494447_341|10.1007/10494447_4|10.1007/10735542_279|10.1007/10897744_34|10.1007/3418_2015_90|10.1007/7081_2017_1|10.1007/978-1-4612-5462-1_5|10.1007/978-1-4613-2931-2_10|10.1007/978-1-4613-2931-2_3|10.1007/978-1-4684-6198-5_5|10.1007/978-1-4899-1202-2_29|10.1007/978-1-59259-337-8_9|10.1007/978-3-030-02625-7_7|10.1007/978-3-030-02625-7_8|10.1007/978-
9741,"1,3-Difluorobenzene","1,3-DIFLUOROBENZENE|372-18-9|m-Difluorobenzene|Benzene, 1,3-difluoro-|Benzene, m-difluoro-|2,4-difluorobenzene|meta-Difluorobenzene|1,3-difluoro benzene|UNII-VO3C26WOC2|MFCD00000327|1,3-Difluorbenzol|EINECS 206-746-5|NSC 10285|VO3C26WOC2|UEMGWPRHOOEKTA-UHFFFAOYSA-N|1,3-Difluorobenzene, 99+%|1,3difluorobenzene|1 3-difluorobenzene|1,3 difluorobenzene|Benzene,3-difluoro-|PubChem2308|1,3 difluoro benzene|ACMC-209irl|AC1L1TPP|WLN: FR CF|SCHEMBL13329|KSC224G3T|PARAGOS 530117|KS-00000VAW|CHEBI:38584|CTK1C4339|1,3-",114.090,C6H4F2,0.000,64.900,2.400,8,0,2,0,UEMGWPRHOOEKTA-UHFFFAOYSA-N,"1,3-difluorobenzene",NULL,14104,7,NULL,20050326,10.1002/chem.201001698|10.1002/chem.201100502|10.1002/chem.201200280|10.1002/chem.201201396|10.1002/chem.201204556|10.1002/jcc.20916|10.1002/jps.2600811215|10.1007/10312302_55|10.1007/10468797_8|10.1007/10494447_342|10.1007/10494447_4|10.1007/10680373_15|10.1007/10735542_280|10.1007/10897744_34|10.1007/3-540-19180-1_6|10.1007/978-1-4612-5462-1_5|10.1007/978-1-4684-6174-9_1|10.1007/978-1-4899-1202-2_29|10.1007/978-3-540-44736-8_448|10.1007/978-3-642-03432-9_9|10.1007/978-3-642-45473-8_3|10.1007/978-3-642-959
10008,Fluorobenzene,"FLUOROBENZENE|462-06-6|Phenyl fluoride|Benzene, fluoro-|Monofluorobenzene|Fluorbenzol|fluoro-benzene|4-fluorobenzene|UNII-G3TSZ68K12|Fluorobenzene, 99%|EINECS 207-321-7|NSC 68416|UN2387|MFCD00000280|AI3-28560|G3TSZ68K12|CHEBI:5115|fluoranylbenzene|PYLWMHQQBFSUBP-UHFFFAOYSA-N|Fluorobenzenes|1,2,3,4,5-pentadeuterio-6-fluorobenzene|p-fluorobenzene|fluoro benzene|1-fluorobenzene|Benzene,fluoro-|AC1L1UAQ|WLN: FR|DSSTox_CID_5329|Fluorobenzene [UN2387]  [Flammable liquid]|EC 207-321-7|ACMC-1AH29|DSSTox_RID_77751|D",96.100,C6H5F,0.000,46.100,2.300,7,0,1,0,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,Fluorobenzenes,30494,10,"421,426,427,433,434,435,445,530,540,541,542,543,544,545,546,584,585,595,596,603,605,654,655,656,657,658,659,660,661,662,663,664,665,666,667,875,880,881,884,885,886,887,889,892,893,894,900,902,912,921,923,924,925,926,938,946,947,948,955,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,993,994,995,1030,1452,1457,1458,1469,1471,1476,1477,1478,1479,1948,2101,2107,2112,2120,2517,2546,2549,2551,19262,23443,237685,346025,485290,588513,588514,58",20050326,/s0034-98872008000600014|10.1001/archinternmed.2010.184|10.1001/archinternmed.2010.457|10.1001/jama.2008.876|10.1001/jama.2010.342|10.1001/jama.2011.1649|10.1001/jama.2014.4030|10.1001/jama.295.13.jpc60002|10.1001/jama.296.15.1836-a|10.1001/jama.296.15.1836-b|10.1001/jama.296.15.1837-a|10.1001/jama.297.12.1344|10.1001/jamainternmed.2014.6388|10.1002/(sici)1096-9888(199807)33:7&lt;615::aid-jms674&gt;3.0.co;2-n|10.1002/(sici)1097-0029(19970501)37:3&lt;214::aid-jemt6&gt;3.0.co;2-n|10.1002/(sici)1097-0029(19970
10892,"1,4-Difluorobenzene","1,4-DIFLUOROBENZENE|540-36-3|p-Difluorobenzene|Benzene, 1,4-difluoro-|para-Difluorobenzene|Benzene, p-difluoro-|2,5-difluorobenzene|UNII-Y9FQ2EF0Z6|1,4-Difluorbenzol|EINECS 208-742-9|NSC 10286|MFCD00000344|Y9FQ2EF0Z6|CHEBI:38585|QUGUFLJIAFISSW-UHFFFAOYSA-N|1,4-Difluorobenzene, 99+%|Benzene,4-difluoro-|PubChem2309|1,4-Difluoro-benzene|ACMC-1AXIA|WLN: FR DF|1,4-bis(fluoranyl)benzene|AC1Q4NW6|SCHEMBL13499|KSC491M0D|PARAGOS 390220|PARAGOS 530118|CHEMBL496192|AC1L1W68|DTXSID1075432|1,4-Difluorobenzene, &gt;=99%|",114.090,C6H4F2,0.000,54.900,2.200,8,0,2,0,QUGUFLJIAFISSW-UHFFFAOYSA-N,"1,4-difluorobenzene",NULL,14106,8,416913,20050326,10.1002/chir.20617|10.1002/mrc.2543|10.1002/mrc.2586|10.1007/0-306-47070-5_7|10.1007/10201268_69|10.1007/10494447_343|10.1007/10494447_4|10.1007/10680373_15|10.1007/10735542_281|10.1007/10897744_34|10.1007/128_2011_125|10.1007/128_2011_226|10.1007/3-540-26566-X_3|10.1007/3-540-26566-X_4|10.1007/3-540-69197-9_5|10.1007/3418_2015_90|10.1007/3418_2018_22|10.1007/978-1-4020-5022-4_2|10.1007/978-1-4612-5462-1_5|10.1007/978-1-4613-2133-0_3|10.1007/978-1-4684-2142-2_11|10.1007/978-1-4684-4619-7_17|10.1007/978-1-46
11575,Iodobenzene,"IODOBENZENE|591-50-4|Benzene, iodo-|Phenyl iodide|Benzene iodide|IODOPHENYL|Iodinebenzol|Iodo-benzene|PHENYLIODIDE|Iodo benzene|UNII-9HK5L7YBBR|1-Iodobenzene|C6H5I|Iodobenzene, 98%|NSC 9244|EINECS 209-719-6|MFCD00001029|9HK5L7YBBR|AI3-16898|SNHMUERNLJLMHN-UHFFFAOYSA-N|iodiobenzene|iodanylbenzene|phenyl-iodide|benzene, iodo|3-iodobenzene|4-iodobenzene|2-iodo-benzene|HSDB 7859|IDOBENZENE|PubChem3921|ACMC-1ATSF|AC1L1XNC|SCHEMBL1587|KSC270G7T|PARAGOS 510022|CHEMBL116296|AC1Q4P90|DTXSID8060452|TIMTEC-BB SBB04091",204.010,C6H5I,0.000,46.100,3.200,7,0,0,0,SNHMUERNLJLMHN-UHFFFAOYSA-N,iodobenzene,NULL,32542,11,"155,157,161,165,167,175,23443,237685,346025,603957",20050326,10.1002/1521-3765(20010417)7:8&lt;1703::aid-chem17030&gt;3.0.co;2-k|10.1002/1521-3765(20010518)7:10&lt;2114::aid-chem2114&gt;3.0.co;2-d|10.1002/1521-3765(20010518)7:10&lt;2134::aid-chem2134&gt;3.0.co;2-9|10.1002/1521-3765(20020517)8:10&lt;2350::aid-chem2350&gt;3.0.co;2-e|10.1002/1521-3765(20021202)8:23&lt;5377::aid-chem5377&gt;3.0.co;2-h|10.1002/ana.410100303|10.1002/anie.200390036|10.1002/anie.200701282|10.1002/anie.200901417|10.1002/anie.200907076|10.1002/anie.201000902|10.1002/anie.201006823|10.1002/anie
11994,"1,2-Diiodobenzene","1,2-DIIODOBENZENE|615-42-9|o-Diiodobenzene|Benzene, 1,2-diiodo-|diiodobenzene|Benzene, o-diiodo-|MFCD00001038|1,2-Diiodobenzene, 98%|BBOLNFYSRZVALD-UHFFFAOYSA-N|615-42-9 1,2-Diiodobenzene|Benzene, diiodo-|NSC29029|EINECS 210-425-5|Benzene,2-diiodo-|NSC 29029|PubChem3831|Benzene, 1,2-diiodo|AC1L1YLU|SCHEMBL28219|Benzene, o-diiodo- (8CI)|KSC192K7P|DTXSID0060648|CTK0J2577|WT456|ZINC6827585|ACT07587|BCP05858|NSC-29029|ANW-33853|WT2213|AKOS009156949|RTC-020835|CD-1287|CS-W007538|AS02129|AC-9712|TRA0048632|CM1223",329.900,C6H4I2,0.000,62.900,NULL,8,0,0,0,BBOLNFYSRZVALD-UHFFFAOYSA-N,"1,2-diiodobenzene",NULL,22296,7,NULL,20050326,10.1002/chem.201101650|10.1007/10201446_24|10.1007/12_2007_125|10.1007/128_2012_415|10.1007/128_2014_541|10.1007/3-540-45850-6_19|10.1007/3-540-49451-0_3|10.1007/3418_2013_61|10.1007/3418_2013_71|10.1007/3418_2014_82|10.1007/430_2007_060|10.1007/7081_2012_76|10.1007/7081_2014_121|10.1007/978-1-4612-5462-1_5|10.1007/978-1-4684-3339-5_6|10.1007/978-1-4684-7290-5_4|10.1007/978-1-4684-7290-5_8|10.1007/978-1-4757-1568-2_10|10.1007/978-1-4757-9576-9_5|10.1007/978-3-319-26600-8_1|10.1007/978-3-322-96705-3_4|10.100
12208,"1,4-Diiodobenzene","1,4-DIIODOBENZENE|624-38-4|p-Diiodobenzene|Benzene, 1,4-diiodo-|p-Benzene diiodide|Benzene, p-diiodo-|UNII-I9XCF83VAV|NSC 6297|EINECS 210-842-2|I9XCF83VAV|AI3-08885|LFMWZTSOMGDDJU-UHFFFAOYSA-N|MFCD00001054|1,4-Diiodobenzene, 98%|NSC6297|1,4-diiodbenzene|1,4-Diidobenzene|1,4 diiodobenzene|Benzene,4-diiodo-|1,4-diiodiobenzene|1,4 di-idobenzene|1,4-di-iodobenzene|1,4 di-iodobenzene|PubChem3837|1,4-Diiodo-benzene|Benzene,1,4-diiodo-|Benzene, 1,4-iodo-|ACMC-1B2RI|1,4-Diiodobenzene, 99%|SCHEMBL67142|Benzene, p-di",329.900,C6H4I2,0.000,54.900,4.100,8,0,0,0,LFMWZTSOMGDDJU-UHFFFAOYSA-N,"1,4-diiodobenzene",NULL,22298,8,"1188,346025",20050326,10.1002/1521-3765(20010105)7:1&lt;117::aid-chem117&gt;3.0.co;2-5|10.1002/1521-3765(20020517)8:10&lt;2350::aid-chem2350&gt;3.0.co;2-e|10.1002/chem.200600431|10.1002/chem.201103129|10.1002/smll.200801943|10.1007/10201446_24|10.1007/10201616_59|10.1007/10348248_30|10.1007/10360208_26|10.1007/10369757_18|10.1007/10369757_70|10.1007/10680373_15|10.1007/10717201_1321|10.1007/10717201_1322|10.1007/10717201_1323|10.1007/12_2014_300|10.1007/12_2017_4|10.1007/128_2012_361|10.1007/128_2012_415|10.1007/128_2014_567|10.
12270,"1,3-Diiodobenzene","1,3-DIIODOBENZENE|626-00-6|m-Diiodobenzene|Benzene, 1,3-diiodo-|Benzene, m-diiodo-|1,3-Diiodobenzene, 98%|SFPQFQUXAJOWNF-UHFFFAOYSA-N|MFCD00041731|EINECS 210-921-1|PubChem3833|1,3-Di Iodo benzene|ACMC-1B21U|KSC358C5J|SCHEMBL170090|AC1L1Z83|DTXSID9060811|KS-00000DCP|CTK2F8154|626-00-6 1,3-Diiodobenzene|ACT07590|WT1375|ZINC55161584|ANW-34285|AKOS009158315|RTR-021525|TRA0057527|CM12235|AS02130|RL04379|CS-W005100|SY029580|DS-16919|SC-65612|AK-76947|AN-22034|AC-26087|AB1007913|TR-021525|AJ-112639|TL8004202|ST241",329.900,C6H4I2,0.000,64.900,NULL,8,0,0,0,SFPQFQUXAJOWNF-UHFFFAOYSA-N,"1,3-diiodobenzene",NULL,22296,7,NULL,20050327,10.1002/smll.200801943|10.1007/10057766_45|10.1007/10057766_46|10.1007/10134958_31|10.1007/10134958_44|10.1007/10134958_47|10.1007/10201446_24|10.1007/10369757_70|10.1007/10469434_5|10.1007/12_2017_4|10.1007/978-1-4612-5462-1_5|10.1007/978-1-4757-1568-2_10|10.1007/978-3-030-00997-7_1|10.1007/978-3-319-26600-8_1|10.1007/978-3-319-75810-7_5|10.1007/978-3-540-45860-9_554|10.1007/BF00514699|10.1007/BF00514700|10.1007/BF00514701|10.1007/BF00748857|10.1007/BF00855294|10.1007/BF00855382|10.1007/BF00920827|10.1007/
12519,Phenylphosphine,"PHENYLPHOSPHINE|638-21-1|Phenyl phosphine|Phosphine, phenyl-|phenylphosphane|Fenylfosfin|Fenylfosfin [Czech]|UNII-856X9KP929|HSDB 7199|EINECS 211-325-4|MFCD00002094|NSC 511703|BRN 0741946|RPGWZZNNEUHDAQ-UHFFFAOYSA-N|856X9KP929|monophenylphosphine|1-phenylphosphane|Phenylphosphine #|Phosphine, phenyl-,|PHENYL-PHOSPHANE|PubChem14426|WLN: PHHR|AC1L1ZRL|ACMC-1B2FU|SCHEMBL49436|4-16-00-00948 (Beilstein Handbook Reference)|SCHEMBL2263783|DTXSID7073224|CTK2F5133|ZINC1603496|BCP22538|RW2183|NSC511703|AKOS015890747|",110.090,C6H7P,0.000,46.100,1.800,7,0,0,0,RPGWZZNNEUHDAQ-UHFFFAOYSA-N,phenylphosphane,NULL,32536,9,NULL,20050326,10.1002/chem.201102698|10.1007/0-306-47510-3_2|10.1007/1-4020-2595-5_45|10.1007/10201242_62|10.1007/10201242_79|10.1007/10201315_37|10.1007/10201315_52|10.1007/10201323_102|10.1007/10201323_24|10.1007/10201323_61|10.1007/10201323_93|10.1007/10201616_31|10.1007/10201616_63|10.1007/10360216_17|10.1007/10468797_8|10.1007/10735542_379|10.1007/128_2007_136|10.1007/128_2012_370|10.1007/3-540-50130-4_2|10.1007/7081_2008_17|10.1007/978-1-4613-1717-3_61|10.1007/978-1-4613-2958-9_35|10.1007/978-1-4613-2958-9_40|10.10
12573,Dichlorophenylphosphine,"Dichlorophenylphosphine|644-97-3|Phenyldichlorophosphine|Phenylphosphonous dichloride|Benzenephosphonous dichloride|Dichloro(phenyl)phosphine|Phenylphosphine dichloride|Phosphonous dichloride, phenyl-|Benzene phosphorus dichloride|PHENYL PHOSPHORUS DICHLORIDE|Phenylphosphorus dichloride|Phosphine, dichlorophenyl-|dichloro(phenyl)phosphane|Phenylphosphonous acid dichloride|Dichlorophenyphosphine|Benzenephosphorus dichloride|UNII-WRU258L1EW|NSC 66478|PhPCl2|Dichlorophenylphosphane|HSDB 2729|Phosphonous dichlo",178.980,C6H5Cl2P,0.000,79.100,NULL,9,0,0,0,IMDXZWRLUZPMDH-UHFFFAOYSA-N,dichloro(phenyl)phosphane,NULL,96154,11,"1469,1479,588513,588514,588515,588516,588526,588527,588532,588533,588534,588535,588536,588537,588541,588543,588544,588545,588546,588547,651631,651632,651633,651634,651741,651743,651749,651751,651777,651778,651838,720516,720552,720634,720635,720636,720637,720653,720659,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,74307",20050326,10.1002/chem.200500291|10.1002/chem.200601418|10.1007/0-306-47522-7_9|10.1007/10369757_74|10.1007/10735542_313|10.1007/128_2014_558|10.1007/128_2014_564|10.1007/3-540-10217-5_1|10.1007/3-540-45731-3_3|10.1007/7081_2008_13|10.1007/7081_2008_17|10.1007/7081_2008_18|10.1007/7081_2009_6|10.1007/978-1-4613-3623-5_1|10.1007/978-1-4615-3710-6_4|10.1007/978-1-4615-9349-2_24|10.1007/978-1-4684-0727-3_1|10.1007/978-1-4684-5874-9_23|10.1007/978-3-540-44742-9_2|10.1007/978-3-540-44742-9_95|10.1007/978-3-540-75291-2_12|
14298,Phenyltin trichloride,"PHENYLTIN TRICHLORIDE|1124-19-2|Trichlorophenylstannane|Phenyltrichlorotin|Stannane, trichlorophenyl-|Trichlorophenyltin|trichloro(phenyl)stannane|Phenyltrichlorostannane|CCRIS 6323|EINECS 214-393-3|NSC 92617|MFCD00000513|C6H5Cl3Sn|PhSnCl3|Phenyl tin trichloride|monophenyltin trichloride|trichloro-phenyl-stannane|Stannane, trichlorophenyl|ACMC-1C3LS|AC1L23JD|Phenyltin trichloride, 98%|SCHEMBL130651|DTXSID2074455|UBOGEXSQACVGEC-UHFFFAOYSA-|UBOGEXSQACVGEC-UHFFFAOYSA-K|NSC92617|ANW-16467|7622AF|NSC-92617|ZINC1",302.200,C6H5Cl3Sn,0.000,104.000,NULL,10,0,0,0,UBOGEXSQACVGEC-UHFFFAOYSA-K,trichloro(phenyl)stannane,NULL,5906,6,1259407,20050326,10.1007/0-306-47510-3_6|10.1007/978-1-4612-3004-5_23|10.1007/978-1-4612-5877-3_1|10.1007/978-1-4612-6352-4_1|10.1007/978-1-4614-9446-1_7|10.1007/978-1-4899-1477-4_13|10.1007/978-3-0348-8853-0_8|10.1007/978-3-662-09135-7_11|10.1007/978-3-662-10559-7_19|10.1007/978-81-322-1850-0_8|10.1007/978-94-009-3897-7_5|10.1007/978-94-011-0920-8_4|10.1007/BF00214266|10.1007/BF00323738|10.1007/BF00323967|10.1007/BF00450857|10.1007/BF00487256|10.1007/BF00854556|10.1007/BF00859075|10.1007/BF00908317|10.1007/BF01201712|10.10
14509,"Mercury, bromophenyl-","Phenylmercury bromide|Bromophenylmercury|MERCURY, BROMOPHENYL-|Phenylmercuric bromide|1192-89-8|PHENYL MERCURIC BROMIDE|Fenylmerkuribromid [Czech]|(Bromomercuri)benzene|EINECS 214-760-8|NSC 126136|BRN 3661320|Fenylmerkuribromid|bromo(phenyl)mercury|Phentlmercuric bromide|Phenylmercury(II) bromide|WLN: E-HG-R|SCHEMBL8845549|AC1L23Z9|DTXSID6074465|CTK0I1297|NSC126136|AKOS024430453|NSC-126136|LS-89670|FT-0633448|C-57865",357.600,C6H5BrHg,0.000,59.500,NULL,8,0,0,0,PUPHNPSAIJQNEE-UHFFFAOYSA-M,bromo(phenyl)mercury,NULL,29458,7,248,20050326,10.1007/10201844_56|10.1007/10735542_304|10.1007/978-1-4612-9815-1_24|10.1007/978-1-4684-6251-7_24|10.1007/978-3-642-70004-0_6|10.1007/978-3-642-87918-0_45|10.1007/978-3-662-12756-8_25|10.1007/BF00700164|10.1007/BF00738570|10.1007/BF00752843|10.1007/BF00844022|10.1007/BF00845582|10.1007/BF00845583|10.1007/BF00845940|10.1007/BF00846039|10.1007/BF00853864|10.1007/BF00854496|10.1007/BF00904973|10.1007/BF00912270|10.1007/BF00912419|10.1007/BF00912420|10.1007/BF00917272|10.1007/BF00917368|10.1007/BF00920400|10.1
